sim_ind	proposal_type	pseudocount	n_mutations	mean MI value
9	logits	0.0	20	1.287361271589951
9	logits	0.0	40	1.0871495846797203
9	logits	0.0	60	0.9705223478725742
9	logits	0.0	80	0.8684064678395016
9	logits	0.0	100	0.8025658307694301
9	logits	0.0	120	0.7566724032217986
9	logits	0.0	140	0.7311035492467005
9	logits	0.0	160	0.7135550244974688
9	logits	0.0	180	0.690883171926241
9	logits	0.0	200	0.6651186093121968
9	logits	0.0	220	0.6546677383036574
9	logits	0.0	240	0.6523645860516827
9	logits	0.0	260	0.6499610623701086
9	logits	0.0	280	0.6390933822228574
9	logits	0.0	300	0.6303832622190635
9	logits	0.0	320	0.6250993079740917
9	logits	0.0	340	0.6215873391525908
9	logits	0.0	360	0.6156826682425052
9	logits	0.0	380	0.6168957421816186
9	logits	0.0	400	0.6111254695041342
9	logits	0.0	420	0.5982185522315472
9	logits	0.0	440	0.6055329036371244
9	logits	0.0	460	0.6006127470914964
9	logits	0.0	480	0.596844288785852
9	logits	0.0	500	0.597783033654331
9	logits	0.0	520	0.5970868572733223
9	logits	0.0	540	0.5921174167142412
9	logits	0.0	560	0.5921930337456537
9	logits	0.0	580	0.5842537283594643
9	logits	0.0	600	0.5771048833915732
9	logits	0.0	620	0.573391086553405
9	logits	0.0	640	0.5699717163279588
9	logits	0.0	660	0.5693477358983609
9	logits	0.0	680	0.5697893462926971
9	logits	0.0	700	0.5647745180131312
9	logits	0.0	720	0.5660287627974806
9	logits	0.0	740	0.5716622801757677
9	logits	0.0	760	0.571139926534421
9	logits	0.0	780	0.5671021702091769
9	logits	0.0	800	0.556530474675195
9	logits	0.0	820	0.5578471162420049
9	logits	0.0	840	0.5540587369232087
9	logits	0.0	860	0.5530477715883374
9	logits	0.0	880	0.5451405877046029
9	logits	0.0	900	0.543219666512534
9	logits	0.0	920	0.5413023661693555
9	logits	0.0	940	0.5472600652740781
9	logits	0.0	960	0.5484764717262265
9	logits	0.0	980	0.5449805979146899
9	logits	0.0	1000	0.5342597668557093
9	logits	0.0	1020	0.5339042421972353
9	logits	0.0	1040	0.5348093978341972
9	logits	0.0	1060	0.5228484041995578
9	logits	0.0	1080	0.5221025061952225
9	logits	0.0	1100	0.5204419425334603
9	logits	0.0	1120	0.5127137225064323
9	logits	0.0	1140	0.5118624278747753
9	logits	0.0	1160	0.512373262652592
9	logits	0.0	1180	0.5121444349732948
9	logits	0.0	1200	0.5100324198358874
9	logits	0.0	1220	0.5039618059314817
9	logits	0.0	1240	0.5046497624825398
9	logits	0.0	1260	0.5031104268561565
9	logits	0.0	1280	0.49602986956145206
9	logits	0.0	1300	0.506985134481432
9	logits	0.0	1320	0.5026975101055782
9	logits	0.0	1340	0.5017597676097205
9	logits	0.0	1360	0.5036551072355065
9	logits	0.0	1380	0.5017262797621328
9	logits	0.0	1400	0.48988879517729667
9	logits	0.0	1420	0.483845170864409
9	logits	0.0	1440	0.4814002197275093
9	logits	0.0	1460	0.48539738160028645
9	logits	0.0	1480	0.48741347275477087
9	logits	0.0	1500	0.4949480098404652
9	logits	0.0	1520	0.49082885191007924
9	logits	0.0	1540	0.4909632195276389
9	logits	0.0	1560	0.4916079847887186
9	logits	0.0	1580	0.4860907187545137
9	logits	0.0	1600	0.497410411430769
9	logits	0.0	1620	0.49651721643480384
9	logits	0.0	1640	0.4859254669469179
9	logits	0.0	1660	0.4841927482456591
9	logits	0.0	1680	0.48191229999772817
9	logits	0.0	1700	0.48643734621138296
9	logits	0.0	1720	0.4901128166585745
9	logits	0.0	1740	0.4923215029750736
9	logits	0.0	1760	0.4968052814734555
9	logits	0.0	1780	0.49999588051271027
9	logits	0.0	1800	0.4913658299063244
9	logits	0.0	1820	0.4892229432220366
9	logits	0.0	1840	0.48971229768072794
9	logits	0.0	1860	0.48580214566036667
9	logits	0.0	1880	0.4809982913885566
9	logits	0.0	1900	0.47502096563856044
9	logits	0.0	1920	0.4755177300433346
9	logits	0.0	1940	0.47661490113353777
9	logits	0.0	1960	0.4772050432405448
9	logits	0.0	1980	0.47281526678723523
9	logits	0.0	2000	0.4709640726906418
