sim_ind	proposal_type	pseudocount	n_mutations	mean MI value
2	logits	0.3	20	0.35267377370819625
2	logits	0.3	40	0.3106949260196255
2	logits	0.3	60	0.2801455976338744
2	logits	0.3	80	0.25892539227028394
2	logits	0.3	100	0.24483235009254445
2	logits	0.3	120	0.23423009784568102
2	logits	0.3	140	0.2278726824427227
2	logits	0.3	160	0.22118778872005973
2	logits	0.3	180	0.21630046932286
2	logits	0.3	200	0.2151507896713431
2	logits	0.3	220	0.2135339313413383
2	logits	0.3	240	0.21143195484405414
2	logits	0.3	260	0.21066580438970534
2	logits	0.3	280	0.2093421912154662
2	logits	0.3	300	0.2091614168177547
2	logits	0.3	320	0.2079318551599241
2	logits	0.3	340	0.20678099645000378
2	logits	0.3	360	0.20515851746469724
2	logits	0.3	380	0.20492078746530104
2	logits	0.3	400	0.20280485027428122
2	logits	0.3	420	0.20133126563858347
2	logits	0.3	440	0.20040931634694364
2	logits	0.3	460	0.20051158942186723
2	logits	0.3	480	0.19929952459626843
2	logits	0.3	500	0.19762671348041647
2	logits	0.3	520	0.19652593676633368
2	logits	0.3	540	0.1967531109490724
2	logits	0.3	560	0.1976793943794808
2	logits	0.3	580	0.1979004147642317
2	logits	0.3	600	0.197132136318989
2	logits	0.3	620	0.1958451442393767
2	logits	0.3	640	0.19608900651499442
2	logits	0.3	660	0.19643022437235524
2	logits	0.3	680	0.19718882093663057
2	logits	0.3	700	0.19821264345177622
2	logits	0.3	720	0.1967772075643406
2	logits	0.3	740	0.1959165158221321
2	logits	0.3	760	0.19627096338571723
2	logits	0.3	780	0.19536346303059016
2	logits	0.3	800	0.19397637086596803
2	logits	0.3	820	0.19483940957359946
2	logits	0.3	840	0.19342012053557142
2	logits	0.3	860	0.19402015062309003
2	logits	0.3	880	0.194048125160731
2	logits	0.3	900	0.1940330116154672
2	logits	0.3	920	0.1933609731011491
2	logits	0.3	940	0.1946062639461155
2	logits	0.3	960	0.19289128446000192
2	logits	0.3	980	0.19304519233991904
2	logits	0.3	1000	0.19209867947972042
2	logits	0.3	1020	0.19279987076279428
2	logits	0.3	1040	0.19244835093515064
2	logits	0.3	1060	0.1922837724902756
2	logits	0.3	1080	0.19141364175784112
2	logits	0.3	1100	0.19027100468766142
2	logits	0.3	1120	0.18985618394330853
2	logits	0.3	1140	0.19089580998315595
2	logits	0.3	1160	0.19055294464196892
2	logits	0.3	1180	0.19063252845591336
2	logits	0.3	1200	0.19040421310118028
2	logits	0.3	1220	0.19099535252012415
2	logits	0.3	1240	0.19125357622483558
2	logits	0.3	1260	0.1905329778830427
2	logits	0.3	1280	0.18953105724698982
2	logits	0.3	1300	0.19011004542157803
2	logits	0.3	1320	0.19078749032177933
2	logits	0.3	1340	0.19058565709398376
2	logits	0.3	1360	0.1902802822661432
2	logits	0.3	1380	0.1901053155805805
2	logits	0.3	1400	0.18984287342027184
2	logits	0.3	1420	0.19046979657322868
2	logits	0.3	1440	0.19081453551168814
2	logits	0.3	1460	0.19082616588975515
2	logits	0.3	1480	0.19086443106596931
2	logits	0.3	1500	0.19114676222302568
2	logits	0.3	1520	0.18940829421815994
2	logits	0.3	1540	0.18972323121285892
2	logits	0.3	1560	0.1904285165004396
2	logits	0.3	1580	0.18876405524686207
2	logits	0.3	1600	0.18855547598675504
2	logits	0.3	1620	0.18772417986707593
2	logits	0.3	1640	0.18697848402524728
2	logits	0.3	1660	0.18699265266752396
2	logits	0.3	1680	0.18875544504034858
2	logits	0.3	1700	0.18825527088401686
2	logits	0.3	1720	0.18895145547186018
2	logits	0.3	1740	0.1881902891822227
2	logits	0.3	1760	0.1877931668535644
2	logits	0.3	1780	0.18621039850112578
2	logits	0.3	1800	0.18579933709663385
2	logits	0.3	1820	0.18517680547401896
2	logits	0.3	1840	0.18686413247487704
2	logits	0.3	1860	0.1861889668269713
2	logits	0.3	1880	0.18628352700498313
2	logits	0.3	1900	0.1845096138972358
2	logits	0.3	1920	0.18544852943603934
2	logits	0.3	1940	0.18533264110491754
2	logits	0.3	1960	0.18560553152127945
2	logits	0.3	1980	0.18680665457730167
2	logits	0.3	2000	0.18661158052598983
