sequence_name	n_mutations	proposal_type	hmmer_seq_score
seq7	0	msa_prob_dist	-2.1
seq9	0	msa_prob_dist	-2.2
seq2	0	msa_prob_dist	-2.3
seq8	0	msa_prob_dist	-2.4
seq4	0	msa_prob_dist	-2.6
seq5	0	msa_prob_dist	-2.8
seq3	0	msa_prob_dist	-3.0
seq7	0	random	-2.1
seq9	0	random	-2.2
seq2	0	random	-2.3
seq8	0	random	-2.4
seq4	0	random	-2.6
seq5	0	random	-2.8
seq3	0	random	-3.0
seq7	100	msa_prob_dist	-0.7
seq8	100	msa_prob_dist	-1.0
seq6	100	msa_prob_dist	-1.3
seq9	100	msa_prob_dist	-1.8
seq4	100	msa_prob_dist	-2.0
seq5	100	msa_prob_dist	-2.1
seq3	100	msa_prob_dist	-2.4
seq0	100	msa_prob_dist	0.0
seq1	100	msa_prob_dist	0.0
seq2	100	msa_prob_dist	0.0
seq7	200	msa_prob_dist	11.8
seq4	200	msa_prob_dist	-0.1
seq5	200	msa_prob_dist	-0.6
seq9	200	msa_prob_dist	-1.0
seq2	200	msa_prob_dist	-1.9
seq6	200	msa_prob_dist	-1.9
seq8	200	msa_prob_dist	-2.1
seq1	200	msa_prob_dist	-3.0
seq3	200	msa_prob_dist	-3.2
seq0	200	msa_prob_dist	0.0
seq7	300	msa_prob_dist	32.7
seq5	300	msa_prob_dist	11.5
seq6	300	msa_prob_dist	3.1
seq9	300	msa_prob_dist	1.9
seq4	300	msa_prob_dist	-0.4
seq2	300	msa_prob_dist	-1.0
seq0	300	msa_prob_dist	0.0
seq1	300	msa_prob_dist	0.0
seq3	300	msa_prob_dist	0.0
seq8	300	msa_prob_dist	0.0
seq5	400	msa_prob_dist	35.1
seq7	400	msa_prob_dist	22.7
seq6	400	msa_prob_dist	8.5
seq9	400	msa_prob_dist	7.3
seq2	400	msa_prob_dist	3.4
seq4	400	msa_prob_dist	3.2
seq1	400	msa_prob_dist	-1.8
seq8	400	msa_prob_dist	-2.0
seq3	400	msa_prob_dist	-6.4
seq0	400	msa_prob_dist	0.0
seq5	500	msa_prob_dist	33.2
seq4	500	msa_prob_dist	23.5
seq7	500	msa_prob_dist	23.5
seq9	500	msa_prob_dist	16.6
seq6	500	msa_prob_dist	6.6
seq2	500	msa_prob_dist	3.8
seq8	500	msa_prob_dist	-1.7
seq3	500	msa_prob_dist	-2.4
seq0	500	msa_prob_dist	0.0
seq1	500	msa_prob_dist	0.0
seq4	600	msa_prob_dist	39.9
seq9	600	msa_prob_dist	28.5
seq5	600	msa_prob_dist	23.9
seq7	600	msa_prob_dist	21.5
seq2	600	msa_prob_dist	14.5
seq6	600	msa_prob_dist	13.5
seq8	600	msa_prob_dist	5.0
seq0	600	msa_prob_dist	-3.9
seq1	600	msa_prob_dist	0.0
seq3	600	msa_prob_dist	0.0
seq4	700	msa_prob_dist	65.7
seq7	700	msa_prob_dist	51.2
seq5	700	msa_prob_dist	26.8
seq8	700	msa_prob_dist	21.8
seq2	700	msa_prob_dist	20.1
seq9	700	msa_prob_dist	17.3
seq6	700	msa_prob_dist	16.4
seq1	700	msa_prob_dist	-1.8
seq3	700	msa_prob_dist	-5.4
seq0	700	msa_prob_dist	0.0
seq7	800	msa_prob_dist	61.2
seq4	800	msa_prob_dist	54.2
seq5	800	msa_prob_dist	32.3
seq2	800	msa_prob_dist	24.4
seq9	800	msa_prob_dist	18.4
seq8	800	msa_prob_dist	16.0
seq6	800	msa_prob_dist	10.8
seq1	800	msa_prob_dist	-2.2
seq0	800	msa_prob_dist	0.0
seq3	800	msa_prob_dist	0.0
seq7	900	msa_prob_dist	48.3
seq4	900	msa_prob_dist	44.3
seq5	900	msa_prob_dist	35.0
seq2	900	msa_prob_dist	34.9
seq8	900	msa_prob_dist	33.6
seq9	900	msa_prob_dist	11.7
seq6	900	msa_prob_dist	3.0
seq1	900	msa_prob_dist	-0.0
seq3	900	msa_prob_dist	-1.7
seq0	900	msa_prob_dist	0.0
seq7	1000	msa_prob_dist	54.1
seq4	1000	msa_prob_dist	48.3
seq8	1000	msa_prob_dist	45.9
seq5	1000	msa_prob_dist	34.8
seq2	1000	msa_prob_dist	27.8
seq1	1000	msa_prob_dist	22.1
seq9	1000	msa_prob_dist	11.7
seq6	1000	msa_prob_dist	-0.9
seq0	1000	msa_prob_dist	0.0
seq3	1000	msa_prob_dist	0.0
seq7	1100	msa_prob_dist	57.0
seq4	1100	msa_prob_dist	54.2
seq5	1100	msa_prob_dist	48.4
seq8	1100	msa_prob_dist	37.8
seq2	1100	msa_prob_dist	34.8
seq1	1100	msa_prob_dist	19.4
seq9	1100	msa_prob_dist	11.0
seq6	1100	msa_prob_dist	-0.1
seq0	1100	msa_prob_dist	0.0
seq3	1100	msa_prob_dist	0.0
seq7	1200	msa_prob_dist	57.3
seq5	1200	msa_prob_dist	55.7
seq8	1200	msa_prob_dist	45.3
seq6	1200	msa_prob_dist	37.3
seq4	1200	msa_prob_dist	31.6
seq2	1200	msa_prob_dist	31.0
seq1	1200	msa_prob_dist	25.9
seq9	1200	msa_prob_dist	24.7
seq0	1200	msa_prob_dist	-4.0
seq3	1200	msa_prob_dist	0.0
seq7	1300	msa_prob_dist	64.2
seq6	1300	msa_prob_dist	54.8
seq5	1300	msa_prob_dist	52.3
seq4	1300	msa_prob_dist	49.7
seq8	1300	msa_prob_dist	47.0
seq2	1300	msa_prob_dist	45.4
seq9	1300	msa_prob_dist	35.8
seq1	1300	msa_prob_dist	26.6
seq0	1300	msa_prob_dist	0.0
seq3	1300	msa_prob_dist	0.0
seq5	1400	msa_prob_dist	82.4
seq2	1400	msa_prob_dist	72.8
seq4	1400	msa_prob_dist	61.8
seq6	1400	msa_prob_dist	60.6
seq7	1400	msa_prob_dist	60.5
seq9	1400	msa_prob_dist	45.2
seq1	1400	msa_prob_dist	42.4
seq8	1400	msa_prob_dist	35.0
seq0	1400	msa_prob_dist	-2.0
seq3	1400	msa_prob_dist	0.0
seq5	1500	msa_prob_dist	106.5
seq4	1500	msa_prob_dist	80.8
seq6	1500	msa_prob_dist	72.7
seq2	1500	msa_prob_dist	56.6
seq8	1500	msa_prob_dist	51.9
seq7	1500	msa_prob_dist	46.3
seq1	1500	msa_prob_dist	33.6
seq9	1500	msa_prob_dist	27.1
seq0	1500	msa_prob_dist	0.0
seq3	1500	msa_prob_dist	0.0
seq5	1600	msa_prob_dist	106.7
seq6	1600	msa_prob_dist	82.4
seq4	1600	msa_prob_dist	62.0
seq2	1600	msa_prob_dist	59.9
seq8	1600	msa_prob_dist	58.4
seq7	1600	msa_prob_dist	52.1
seq1	1600	msa_prob_dist	43.7
seq9	1600	msa_prob_dist	33.6
seq0	1600	msa_prob_dist	0.0
seq3	1600	msa_prob_dist	0.0
seq5	1700	msa_prob_dist	113.9
seq2	1700	msa_prob_dist	80.8
seq1	1700	msa_prob_dist	71.1
seq6	1700	msa_prob_dist	65.9
seq7	1700	msa_prob_dist	55.7
seq8	1700	msa_prob_dist	48.1
seq4	1700	msa_prob_dist	37.4
seq9	1700	msa_prob_dist	36.8
seq0	1700	msa_prob_dist	0.0
seq3	1700	msa_prob_dist	0.0
seq5	1800	msa_prob_dist	134.6
seq2	1800	msa_prob_dist	115.3
seq6	1800	msa_prob_dist	67.2
seq1	1800	msa_prob_dist	60.0
seq8	1800	msa_prob_dist	59.5
seq7	1800	msa_prob_dist	54.5
seq4	1800	msa_prob_dist	39.3
seq9	1800	msa_prob_dist	38.2
seq0	1800	msa_prob_dist	-2.8
seq3	1800	msa_prob_dist	0.0
seq2	1900	msa_prob_dist	137.6
seq5	1900	msa_prob_dist	136.7
seq8	1900	msa_prob_dist	83.5
seq6	1900	msa_prob_dist	78.1
seq1	1900	msa_prob_dist	67.9
seq7	1900	msa_prob_dist	61.2
seq4	1900	msa_prob_dist	54.9
seq9	1900	msa_prob_dist	45.7
seq0	1900	msa_prob_dist	0.0
seq3	1900	msa_prob_dist	0.0
seq2	2000	msa_prob_dist	156.7
